mode_name,stem_count,quality_mode,prefer_speed,elapsed_seconds,audio_duration_seconds,realtime_factor,models_used,error,benchmark_output_dir,job_id
2_stem_speed,2,speed,True,22.92,30.0,0.764,UVR_MDXNET_3_9662.ort|phase_inversion,,D:\burntbeats-aws\reports\cpu_pipeline_baseline\post_kara_2026-06-04\2_stem_speed\55f1641c-927a-465b-adf4-360a96f270d2,55f1641c-927a-465b-adf4-360a96f270d2
2_stem_quality,2,quality,False,23.8,30.0,0.7932,UVR_MDXNET_KARA.ort|phase_inversion,,D:\burntbeats-aws\reports\cpu_pipeline_baseline\post_kara_2026-06-04\2_stem_quality\43211e0c-f785-4290-b03e-01b61def07ae,43211e0c-f785-4290-b03e-01b61def07ae
4_stem_speed,4,speed,True,39.84,30.0,1.3281,kuielab_b_other.onnx|kuielab_b_drums.onnx|kuielab_b_vocals.onnx|kuielab_b_bass.onnx,,D:\burntbeats-aws\reports\cpu_pipeline_baseline\post_kara_2026-06-04\4_stem_speed\ce1d5dfe-98b6-4d42-aa6e-246b6a52c3a0,ce1d5dfe-98b6-4d42-aa6e-246b6a52c3a0
4_stem_quality,4,quality,False,38.53,30.0,1.2844,kuielab_b_other.onnx|kuielab_b_vocals.onnx|kuielab_b_bass.onnx|kuielab_b_drums.onnx,,D:\burntbeats-aws\reports\cpu_pipeline_baseline\post_kara_2026-06-04\4_stem_quality\851281f3-05c1-4958-9f8b-b962409d91bf,851281f3-05c1-4958-9f8b-b962409d91bf
